WEEK;DATE;ORDER_ID;PROD_NBR;CUST_NBR;t1;t2;QUANTITY;DRIVER_NBR;TRUCK_NBR
41;2020-10-05;926734;3214RPBR;103060;39,656666666666666;39,656666666666666;7,0;1;1
41;2020-10-05;926736;0120RB;000857;38,89666666666667;38,89666666666667;7,0;1;1
41;2020-10-05;926738;3220R;000402;94,53999999999999;94,53999999999999;12,0;2;2
41;2020-10-05;926740;3520RBOR;000858;257,8833333333333;257,8833333333333;30,0;5;5
41;2020-10-05;926741;2514RPBR;COD;346,66499999999996;346,66499999999996;11,0;3;3
41;2020-10-05;926851;2520P;102625;28,225;28,225;5,0;1;1
41;2020-10-06;920231;3220RVM;103762;525,9;525,9;176,0;18;18
41;2020-10-06;920552;3020P;104054;83,75333333333334;83,75333333333334;12,0;2;2
41;2020-10-06;920552;3020RP;104054;379,32;379,32;21,0;3;3
41;2020-10-06;920831;REM3A-M;104686;240,81333333333333;240,81333333333333;54,0;8;8
41;2020-10-06;922141;3520RPC1;104778;37,18333333333333;37,18333333333333;21,0;2;2
41;2020-10-06;922141;5014RP;104778;55,77499999999999;55,77499999999999;21,0;3;3
41;2020-10-06;922180;3020P;002793;2373,816666666666;2373,816666666666;297,5;35;35
41;2020-10-06;922381;2520RP;003522;108,595;108,595;21,5;3;3
41;2020-10-06;922543;3220RVM;103062;46,486666666666665;13,640000000000002;16,0;2;2
41;2020-10-06;922667;3005PMOR;104269;21,185;21,185;1,5;1;1
41;2020-10-06;922667;3010P;104269;46,93333333333333;46,93333333333333;4,0;1;1
41;2020-10-06;922667;3020P;104269;413,2733333333333;413,2733333333333;82,0;11;11
