Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVA;LOCAL_SEARCH;TIME_LIMIT
2023-8-12;2:34:31;cq;20201006;3739.5;0;24277.3;22786.8;863.788;59.2633;0;138;812.198;5429.56;8;3681321;120;20;25;60;1;3600000
2023-8-12;2:34:34;cq;20201104;3953.5;0;26180;24686.1;601.904;52.2528;0;148;273.11;3509.98;8;3674711;120;20;25;60;1;3600000
2023-8-12;20:30:58;cq;20201128;776;0;2386.48;1779.39;0;0;0;30;813.187;637.12;3;306142;120;20;25;60;1;300000
2023-8-12;20:30:58;cq;20201021;1160.5;0;6063.32;5596.02;8.98111;4;0;65;3541.79;1300.42;6;306862;120;20;25;60;1;300000
2023-8-12;20:31:0;cq;20201031;375;0;1018.78;705.171;;0;29;15;198.233;142.401;2;307781;120;20;25;60;1;300000
2023-8-12;20:31:0;cq;20201114;388;0;1791.03;1454.64;0;0;0;19;177.684;0;2;308419;120;20;25;60;1;300000
2023-8-12;20:31:6;cq;20201010;267;0;745.097;523.463;0;0;0;13;34.8517;0;1;313918;120;20;25;60;1;300000
2023-8-12;20:31:20;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;327.696;0;2;328222;120;20;25;60;1;300000
2023-8-12;20:31:28;cq;20201121;226.5;0;1243.55;958.349;4.29952;4.29952;0;13;93.2433;0;1;334857;120;20;25;60;1;300000
2023-8-12;20:31:31;cq;20201013;1565;0;9399.85;8823.18;29.9083;24.4367;0;98;3353.46;261.214;8;339079;120;20;25;60;1;300000
2023-8-12;20:31:40;cq;20201003;613.5;0;4279.45;4270.37;57.445;38.775;0;29;182.948;476.825;3;347899;120;20;25;60;1;300000
2023-8-12;20:31:54;cq;20201024;937.5;0;4204.87;3798.12;0;0;0;33;517.707;949.962;3;361941;120;20;25;60;1;300000
2023-8-12;20:34:15;cq;20201016;2060;0;12470.9;11712.7;107.017;31.3125;7;112;2581.42;926.833;8;307126;120;20;25;60;1;300000
2023-8-12;20:34:18;cq;20201130;2327.5;0;14881;13287.6;203.749;49.8367;0;117;1758.98;1281.91;6;310057;120;20;25;60;1;300000
2023-8-12;20:34:20;cq;20201125;2425;0;19681.5;18241.5;790.726;56.6898;0;136;1437.04;1512.92;7;312391;120;20;25;60;1;300000
2023-8-12;20:34:23;cq;20201026;1839.5;0;13725.8;13017.9;62.2909;28.5882;7;114;2366.84;491.153;8;314654;120;20;25;60;1;300000
2023-8-12;20:34:25;cq;20201109;1746.5;0;14603.5;13595.8;30.645;13;1;94;876.092;1465.7;7;316759;120;20;25;60;1;300000
2023-8-12;20:34:30;cq;20201124;2677.5;8;16681.5;14982.9;528.459;52.3095;0;128;1208.93;2385.71;8;322058;120;20;25;60;1;300000
